   1 	    42.4956 
   2 	    45.7613 
   3 	    49.1133 
   4 	    52.4465 
   5 	    55.6978 
   6 	    59.0515 
   7 	    62.3576 
   8 	    65.6781 
   9 	    68.9910 
  10 	    72.2644 
  11 	    75.6350 
  12 	    78.8878 
  13 	    82.2142 
  14 	    85.4911 
  15 	    88.8050 
  16 	    92.1883 
  17 	    95.4275 
  18 	    98.8123 
  19 	   101.9843 
  20 	   105.3387 
  21 	   108.6217 
  22 	   111.9439 
  23 	   115.2535 
  24 	   118.5798 
  25 	   121.9160 
  26 	   125.1959 
  27 	   128.4744 
  28 	   131.8353 
  29 	   135.1073 
  30 	   138.4365 
  31 	   141.7656 
  32 	   145.0984 
  33 	   148.4084 
  34 	   151.7010 
  35 	   154.9854 
