1.300700000000000000e+04,8.713000000000000000e+03,7.129000000000000000e+03,6.144000000000000000e+03
1.296800000000000000e+04,8.712000000000000000e+03,7.128000000000000000e+03,6.136000000000000000e+03
1.303600000000000000e+04,8.747000000000000000e+03,7.171000000000000000e+03,6.149000000000000000e+03
1.297900000000000000e+04,8.717000000000000000e+03,7.146000000000000000e+03,6.144000000000000000e+03
1.296900000000000000e+04,8.714000000000000000e+03,7.140000000000000000e+03,6.142000000000000000e+03
1.298300000000000000e+04,8.719000000000000000e+03,7.135000000000000000e+03,6.138000000000000000e+03
1.299200000000000000e+04,8.715000000000000000e+03,7.148000000000000000e+03,6.148000000000000000e+03
1.302100000000000000e+04,8.728000000000000000e+03,7.143000000000000000e+03,6.154000000000000000e+03
1.308200000000000000e+04,8.764000000000000000e+03,7.167000000000000000e+03,6.157000000000000000e+03
1.295500000000000000e+04,8.709000000000000000e+03,7.135000000000000000e+03,6.137000000000000000e+03
1.296700000000000000e+04,8.702000000000000000e+03,7.139000000000000000e+03,6.145000000000000000e+03
1.297900000000000000e+04,8.725000000000000000e+03,7.140000000000000000e+03,6.142000000000000000e+03
1.297500000000000000e+04,8.711000000000000000e+03,7.139000000000000000e+03,6.144000000000000000e+03
1.297900000000000000e+04,8.708000000000000000e+03,7.148000000000000000e+03,6.142000000000000000e+03
1.300400000000000000e+04,8.725000000000000000e+03,7.156000000000000000e+03,6.135000000000000000e+03
1.299100000000000000e+04,8.714000000000000000e+03,7.140000000000000000e+03,6.134000000000000000e+03
1.301700000000000000e+04,8.710000000000000000e+03,7.184000000000000000e+03,6.168000000000000000e+03
1.297600000000000000e+04,8.718000000000000000e+03,7.151000000000000000e+03,6.139000000000000000e+03
1.305600000000000000e+04,8.739000000000000000e+03,7.164000000000000000e+03,6.146000000000000000e+03
1.305500000000000000e+04,8.725000000000000000e+03,7.151000000000000000e+03,6.154000000000000000e+03
1.300400000000000000e+04,8.712000000000000000e+03,7.148000000000000000e+03,6.136000000000000000e+03
1.295800000000000000e+04,8.705000000000000000e+03,7.133000000000000000e+03,6.142000000000000000e+03
1.296200000000000000e+04,8.723000000000000000e+03,7.150000000000000000e+03,6.132000000000000000e+03
1.294800000000000000e+04,8.697000000000000000e+03,7.131000000000000000e+03,6.140000000000000000e+03
1.298600000000000000e+04,8.713000000000000000e+03,7.129000000000000000e+03,6.146000000000000000e+03
1.307700000000000000e+04,8.741000000000000000e+03,7.158000000000000000e+03,6.152000000000000000e+03
1.297000000000000000e+04,8.720000000000000000e+03,7.140000000000000000e+03,6.141000000000000000e+03
1.303500000000000000e+04,8.730000000000000000e+03,7.155000000000000000e+03,6.144000000000000000e+03
1.294000000000000000e+04,8.686000000000000000e+03,7.126000000000000000e+03,6.127000000000000000e+03
