#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35D7A
#Date Time: 2018-11-30 11:11:58.080
#Sample rate: 50000Hz
#Samples: 81320
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3.65 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -4 V

Time (s),Channel 1 (V)
-0.5,2.9598782242786905
-0.49997999999999987,2.0383690233009681
-0.49996000000000018,2.0383690233009681
-0.49994000000000005,2.0380386148388032
-0.49991999999999992,2.0377082063766387
-0.49989999999999979,2.0380386148388032
-0.4998800000000001,2.0380386148388032
-0.49985999999999997,2.0380386148388032
-0.49983999999999984,2.0380386148388081
-0.49982000000000015,2.0383690233009633
-0.49980000000000002,2.0383690233009681
-0.49977999999999989,2.0380386148388032
-0.4997600000000002,2.0380386148388032
-0.49974000000000007,2.0383690233009681
-0.49971999999999994,2.0383690233009681
-0.49969999999999981,2.0380386148388032
-0.49968000000000012,2.0380386148388032
-0.49965999999999999,2.0380386148388032
-0.49963999999999986,2.0380386148388032
-0.49962000000000018,2.0377082063766436
-0.49960000000000004,2.0380386148388032
-0.49957999999999991,2.0386994317631331
-0.49955999999999978,2.0383690233009584
-0.4995400000000001,2.0377082063766387
-0.49951999999999996,2.0380386148388032
-0.49949999999999983,2.0383690233009681
-0.49948000000000015,2.0383690233009681
-0.49946000000000002,2.0380386148388032
-0.49943999999999988,2.0383690233009681
-0.4994200000000002,2.0386994317631282
-0.49940000000000007,2.0383690233009681
-0.49937999999999994,2.0380386148388032
-0.4993599999999998,2.0383690233009681
-0.49934000000000012,2.0383690233009681
-0.49931999999999999,2.0380386148388032
-0.49929999999999986,2.0380386148388032
-0.49928000000000017,2.0383690233009633
-0.49926000000000004,2.0383690233009681
-0.49923999999999991,2.0380386148388032
-0.49922000000000022,2.0380386148388032
-0.49920000000000009,2.0380386148388032
-0.49917999999999996,2.0386994317631331
-0.49915999999999983,2.0377082063766436
-0.49914000000000014,2.0380386148388032
-0.49912000000000001,2.0383690233009681
-0.49909999999999988,2.0383690233009681
-0.49908000000000019,2.0383690233009681
-0.49906000000000006,2.0383690233009681
-0.49903999999999993,2.0383690233009681
-0.4990199999999998,2.0380386148387934
-0.49900000000000011,2.0373777979144734
-0.49897999999999998,2.0377082063766387
-0.49895999999999985,2.0383690233009633
-0.49894000000000016,2.0380386148388081
-0.49892000000000003,2.0380386148388032
-0.4988999999999999,2.0386994317631331
-0.49888000000000021,2.0386994317631331
-0.49886000000000008,2.0380386148388032
-0.49883999999999995,2.0377082063766387
-0.49881999999999982,2.0377082063766436
-0.49880000000000013,2.0380386148388032
-0.49878,2.0383690233009681
-0.49875999999999987,2.0383690233009681
-0.49874000000000018,2.0383690233009681
-0.49872000000000005,2.0383690233009681
-0.49869999999999992,2.0383690233009681
-0.49867999999999979,2.0377082063766485
-0.4986600000000001,2.0383690233009681
-0.49863999999999997,2.0386994317631331
-0.49861999999999984,2.0377082063766436
-0.49860000000000015,2.0380386148387983
-0.49858000000000002,2.0383690233009681
-0.49855999999999989,2.0383690233009681
-0.49854000000000021,2.0380386148388081
-0.49852000000000007,2.0377082063766387
-0.49849999999999994,2.0383690233009681
-0.49847999999999981,2.0383690233009633
-0.49846000000000013,2.0380386148388032
-0.49843999999999999,2.0380386148388032
-0.49841999999999986,2.0386994317631331
-0.49840000000000018,2.038369023300973
-0.49838000000000005,2.0377082063766387
-0.49835999999999991,2.0380386148388032
-0.49833999999999978,2.0380386148388081
-0.4983200000000001,2.0383690233009681
-0.49829999999999997,2.0377082063766387
-0.49827999999999983,2.038369023300973
-0.49826000000000015,2.0386994317631282
-0.49824000000000002,2.0383690233009681
-0.49821999999999989,2.0380386148388032
-0.4982000000000002,2.0383690233009633
-0.49818000000000007,2.0386994317631331
-0.49815999999999994,2.0380386148388032
-0.49813999999999981,2.0377082063766436
-0.49812000000000012,2.0380386148388032
-0.49809999999999999,2.0380386148388032
-0.49807999999999986,2.0380386148388032
-0.49806000000000017,2.0380386148388032
-0.49804000000000004,2.0383690233009681
-0.49801999999999991,2.0383690233009681
-0.49800000000000022,2.0380386148388081
-0.49798000000000009,2.0380386148388032
-0.49795999999999996,2.0383690233009681
-0.49793999999999983,2.0383690233009633
-0.49792000000000014,2.0380386148388032
-0.49790000000000001,2.0383690233009681
-0.49787999999999988,2.0383690233009681
-0.49786000000000019,2.0380386148388081
-0.49784000000000006,2.0377082063766387
-0.49781999999999993,2.0380386148388032
-0.4977999999999998,2.0383690233009681
-0.49778000000000011,2.0383690233009681
-0.49775999999999998,2.0380386148388032
-0.49773999999999985,2.0380386148388081
-0.49772000000000016,2.0383690233009633
-0.49770000000000003,2.0383690233009681
-0.4976799999999999,2.0377082063766387
-0.49766000000000021,2.0380386148387983
-0.49764000000000008,2.0383690233009681
-0.49761999999999995,2.0380386148388032
-0.49759999999999982,2.0377082063766436
-0.49758000000000013,2.0380386148388032
-0.49756,2.0383690233009681
-0.49753999999999987,2.0380386148388032
-0.49752000000000018,2.0377082063766436
-0.49750000000000005,2.0380386148388032
-0.49747999999999992,2.0386994317631331
-0.49745999999999979,2.0380386148387983
-0.4974400000000001,2.0377082063766387
-0.49741999999999997,2.0380386148388032
-0.49739999999999984,2.0380386148387983
-0.49738000000000016,2.0377082063766436
-0.49736000000000002,2.0377082063766387
-0.49733999999999989,2.0380386148388032
-0.49732000000000021,2.0380386148388032
-0.49730000000000008,2.0373777979144734
-0.49727999999999994,2.0377082063766387
